config_name,trial,time,h_dim,neighbor_quantile,k_neighbors,min_persistence
H0_q5_rmean_k1_p0.001,0,2.190823958,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,1,1.8619646249999997,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,2,1.892597833,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,3,1.868489167,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,4,1.9088639169999997,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,5,1.8679852920000002,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,6,2.0289143330000012,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,7,1.9758008329999992,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,8,1.9398937499999995,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,9,1.8806240830000007,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,10,2.0030874169999997,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,11,2.3595529999999982,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,12,1.902128459,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,13,2.093443959000002,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,14,1.9964194999999982,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,15,2.147829999999999,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,16,2.161597999999998,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,17,2.047188708,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,18,1.8984156249999984,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,19,1.8899617920000011,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,20,1.9185055840000018,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,21,2.1991582500000035,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,22,1.9483982080000004,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,23,2.0513284580000004,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,24,1.9803935830000015,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,25,2.381649375000002,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,26,1.9761845000000022,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,27,2.242346290999997,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,28,1.900162041999998,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,29,2.1172434999999936,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,30,2.2353629999999995,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,31,2.1521732919999863,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,32,1.9368597499999964,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,33,1.9402950420000025,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,34,1.9252244159999918,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,35,1.9097211670000007,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,36,1.9076774999999913,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,37,1.9533075419999903,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,38,1.9211020420000011,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,39,1.894734041999996,0,0.05,1,0.001
