config_name,h_dim,neighbor_quantile,radius_statistic,k_neighbors,min_persistence,mean_time,se_time,std_time,ci_lower,ci_upper,n_trials
H0_q5_rmean_k1_p0.001,0,0.05,mean,1,0.001,1.9986556046499977,0.014247942741842734,0.14247942741842734,1.9703845951375083,2.026926614162487,100
H0_q5_rmean_k1_p0.1,0,0.05,mean,1,0.1,1.9428019866600001,0.012806429521041834,0.12806429521041834,1.9173912521160477,1.9682127212039526,100
H0_q5_rmean_k10_p0.001,0,0.05,mean,10,0.001,1.825196051620004,0.002619009118208616,0.02619009118208616,1.8199993693314986,1.8303927339085095,100
H0_q5_rmean_k10_p0.1,0,0.05,mean,10,0.1,1.886941576239998,0.008696950746291465,0.08696950746291464,1.8696849391427703,1.9041982133372255,100
H0_q25_rmean_k1_p0.001,0,0.25,mean,1,0.001,2.066467888329995,0.008581265177345965,0.08581265177345966,2.0494407964997143,2.083494980160276,100
H0_q25_rmean_k1_p0.1,0,0.25,mean,1,0.1,2.0313927033099968,0.008576705359901397,0.08576705359901397,2.0143746591467853,2.0484107474732083,100
H0_q25_rmean_k10_p0.001,0,0.25,mean,10,0.001,1.997362397439997,0.005369508523496174,0.053695085234961734,1.9867081276064056,2.0080166672735884,100
H0_q25_rmean_k10_p0.1,0,0.25,mean,10,0.1,2.100816462530006,0.0571892219105488,0.571892219105488,1.9873406389715031,2.2142922860885084,100
